Attribute,Description,Valid Values,DependsOn,Required,Source,Parent,Properties,DependsOn Component,Validation Rules
chromatinActivity,Chromatin activity that allow access of condensed genomic DNA and potentially control gene expression.,,,FALSE,https://en.wikipedia.org/wiki/Chromatin_remodeling,dataType,,,
surveyData,A data set that contains the outcome of a survey.,,assay,FALSE,http://purl.obolibrary.org/obo/OMIABIS_0000060,dataType,,,
network,An interconnected system of things or people.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C61377,dataType,,,
clinical,Data obtained through patient examination or treatment.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C15783,dataType,,,
immunoassay,Laboratory test involving interaction of antigens with specific antibodies.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16723,dataType,,,
electrophysiology,Data generated from an electrophysiology assay.,,,FALSE,http://purl.obolibrary.org/obo/ERO_0000564,dataType,,,
Neurofibromatosis type 1,"(NF1) - A disease characterized by patches of skin pigmentation (cafe-au-lait spots), Lisch nodules of the iris, tumors in the peripheral nervous system and fibromatous skin tumors. Individuals with the disorder have increased susceptibility to the development of benign and malignant tumors.",,,FALSE,,diagnosis,,,
Neurofibromatosis type 2,"(NF2) - Genetic disorder characterized by bilateral vestibular schwannomas (formerly called acoustic neuromas), schwannomas of other cranial and peripheral nerves, meningiomas, and ependymomas. It is inherited in an autosomal dominant fashion with full penetrance.",,,FALSE,https://www.ebi.ac.uk/ols/ontologies/cco/terms?iri=http%3A%2F%2Fidentifiers.org%2Fomim%2F101000,diagnosis,,,
Schwannomatosis,A rare genetic disorder characterized by the presence of multiple schwannomas.,,,FALSE,https://www.ebi.ac.uk/ols/ontologies/ncit/terms?iri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FNCIT_C6557,diagnosis,,,
Not Applicable,"An NF diagnosis (e.g. NF1, NF2, or Schwannomatosis) does not apply here.",,,FALSE,,diagnosis,,,
10x_v2,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
FACS,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
Fluidigm C1,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
drop-seq,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
inDrop,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
mouth pipette,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
enzymatic,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
mechanical,,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,dissociationMethod,,,
singleMolecule,An experiment in which a single molecule was used in an assay,,,FALSE,,drugScreenType,,,
smallMoleculeLibraryScreen,"High throughput sample analysis of small molecules for purpose such as drug discovery, or biochemical, genetic or pharmacological tests.",,,FALSE,http://purl.obolibrary.org/obo/ERO_0001726,drugScreenType,,,
combinationLibraryScreen,High throughput sample analysis of collections of compounds that provide a variety of chemically diverse structures that can be used to identify structure types that have affinity with pharmacological targets.,,,FALSE,http://purl.obolibrary.org/obo/ERO_0001686,drugScreenType,,,
combinationScreen,,,,FALSE,,drugScreenType,,,
assay,The technology used to generate the data in this file,"elevated plus maze test, open field test, rotarod performance test, mRNAcounts, high content screen, Immunocytochemistry, immunofluorescence, autoradiography, electrochemiluminescence, Real Time PCR, in vivo tumor growth, scale, Blood Chemistry Measurement, in vivo bioluminescence, immunohistochemistry, NOMe-Seq, FIA-MSMS, UPLC-MSMS, HPLC-MSMS, liquid chromatography-electrochemical detection, rnaSeq, mirnaSeq, LC-MSMS, LC-MS, lncrnaSeq, Whole Exome Sequencing, Sanger sequencing, ChIPSeq, rnaArray, snpArray, methylationArray, mirnaArray, bisulfiteSeq, ATACSeq, HI-C, errBisulfiteSeq, ISOSeq, MRI, westernBlot, wholeGenomeSeq, polymeraseChainReaction, cellViabilityAssay, atomicForceMicroscopy, brightfieldMicroscopy, tractionForceMicroscopy, nextGenerationTargetedSequencing, jumpingLibrary, MIB/MS, scCGIseq, MudPIT, questionnaire, DNA optical mapping, novelty response behavior, active avoidance learning behavior, contextual conditioning behavior, anxiety-related behavior, memory behavior, kinesthetic behavior, locomotor activation behavior, oxBS-Seq, Ribo-Seq, Positron Emission Tomography, RPPA, ELISA, LTP, LFP, whole-cell patch clamp, sandwich ELISA, Laser Speckle Imaging, Genotyping, TMT quantitation, label free mass spectrometry, cell count, reporter gene assay, Single Cell RNA Sequencing",,TRUE,,experimentalData,,,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata.","normalized, dataMatrix, raw, processed, metadata, representative",,TRUE,,experimentalData,,,
metadataType,"For files of dataSubtype: metadata, a description of the type of metadata in the file.","individual, biospecimen, assay, data dictionary, manifest, protocol",,FALSE,,experimentalData,,,
bodyPart,Named areas of the body.,head,,FALSE,,experimentalData,,,
organ,A unique macroscopic (gross) anatomic structure that performs specific functions. It is composed of various tissues. An organ is part of an anatomic system or a body region.,"lymph node, kidney, skin, mammary gland, nerves, brain, blood, breast, colon, lung, prostate, pancreas, ovary, spleen, bone marrow, Bursa Of Fabricius, nose",,FALSE,,experimentalData,,,
dataType,Types of input/output data in bioinformatics pipelines,"Volume, Weight, Pharmacokinetic Study, genomicVariants, behavior process, metabolomics, image, geneExpression, isoformExpression, proteomics, kinomics, drugScreen, drugCombinationScreen, cellularPhysiology, chromatinActivity, surveyData, network, clinical, immunoassay, electrophysiology, raw counts",,FALSE,,experimentalData,,,
individualIdSource,Database or repository to which individual ID maps,,,FALSE,,experimentalData,,,
tissue,A tissue is a mereologically maximal collection of cells that together perform physiological function.,"nerve tissue,optic nerve,serum,plasma,splenocyte,blood,primary tumor,embryonic tissue,meninges,bone marrow,Buccal Mucosa,Dorsal Root Ganglion,unspecified,whole brain,Buffy Coat,cerebral cortex,sciatic nerve",,FALSE,,experimentalData,,,
platform,"A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data. ","HiSeq3000, HiSeq2500, HiSeq4000, NextSeq500, HiSeq2000, MiSeq, Zeiss LSM 980, Affy5.0, Affy6.0, PacBioRSII, GAIIx, Illumina_HumanOmni1-Quadv1.0, Illumina_1M, Illumina_h650, Illumina_Omni2pt5M, Illumina_Omni5M, Illumina MouseWG-6 v2.0 expression beadchip, Perlegen300Karray, Agilent44Karray, IlluminaWholeGenomeDASL, IlluminaHumanHap300, NanostringnCounter, LTQOrbitrapXL, IlluminaHumanMethylation450, Illumina Infinium MethylationEPIC BeadChip, AffymetrixU133AB, Affymetrix Human Gene 1.0 ST Array, AffymetrixU133Plus2, HiSeqX, Bionano Irys, Infinium HumanOmniExpressExome, NextSeq 550, NextSeq 1000, NextSeq 2000, PacBio Sequel IIe System, PacBio Sequel II System, NanostringGeoMx, LI-COR Odyssey CLx, Spectramax M Series, Olympus DP80, Orbitrap Fusion Lumos Tribrid",,FALSE,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/#?view=table-definition-view&id=read_group&anchor=platform,experimentalData,,,
isCellLine,Boolean flag indicating whether or not sample source is a cell line. (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,FALSE,,experimentalData,,,
isPrimaryCell,Boolean flag indicating whether or not cellType is primary  (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,FALSE,,experimentalData,,,
cellType,A cell type is a distinct morphological or functional form of cell.,"Schwann cell precusor, B-lymphocytes, Embryonic stem cells, iPSC, iPSC-derived telencephalic organoids, GABAergic neurons, monocytes, microglia, macrophages, astrocytes, SH-SY5Y, GLUtamatergic neurons, NeuN+, NeuN-, epithelial, epithelial-like, fibroblast, round, lymphoblast, polygonal, CD8+ T-Cells, arachnoid, meningioma, schwannoma, oligodendrocyte, schwann, iPSC-derived neuron, iPSC-derived glia, iPSC-derived astrocytes, monocyte-derived microglia, iPSC-derived neuronal progenitor cell, CD138+, CNON, teratoma",,FALSE,,experimentalData,,,
diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,"Neurofibromatosis type 1, Neurofibromatosis type 2, Schwannomatosis, Not Applicable",,FALSE,,experimentalData,,,
isMultiIndividual,Boolean flag indicating whether or not a file has data for multiple individuals  (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,TRUE,,experimentalData,,,
isMultiSpecimen,Boolean flag indicating whether or not a file has data for multiple specimens  (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,TRUE,,experimentalData,,,
sex,"Phenotypic expression of chromosomal makeup that defines a study subject as male, female, or other.","Male, Female, unknown",,FALSE,CDISC-GLOSS,experimentalData,,,
species,The name of a species (typically a taxonomic group) of organism.,"Homo sapiens,Mus musculus,Mus musculus (humanized),Rattus norvegicus,Drosophila melanogaster,Rhesus macaque,Pan troglodytes,Gallus gallus,Sus scrofa,Oryctolagus cuniculus,Danio rerio",,FALSE,,experimentalData,,,
failedQC,Boolean flag indicating whether the sample or data failed QC checks (Note: TRUE = Yes; FALSE = No),"TRUE, FALSE",,TRUE,,experimentalData,,,
individualID,A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID. ,,,FALSE,,experimentalData,,,
specimenID,A unique identifier (non-PII) that represents the specimen (sample) from which the data came. e.g. an ID that indicates a specific tumor specimen.,,,FALSE,,experimentalData,,,
libraryID,,,,TRUE,,experimentalData,,,
assayTarget,The HUGO gene symbol that represents the target analyte assayed.,,,FALSE,Sage Bionetworks,experimentalData,,,
proteinExtractSource,Source of the extracted protein used in the experiment,"cell lysate, nuclei, mitochondria, cytoplasm",,TRUE,http://purl.obolibrary.org/obo/OBI_0000894,experimentalData,,,
reporterGene,"A biological material (clone, oligo, etc.) on an array which will report on some biosequence or biosequences.",,,FALSE,,experimentalData,,,
reporterSubstance,A gene which produces an easily assayed phenotype. Often used for expression studies of heterologous promoters.,,,FALSE,,experimentalData,,,
bash script,Bash Shell Script,,,FALSE,https://en.wikipedia.org/wiki/Shell_script,fileFormat,,,
bedgraph,Holds a tab-delimited chromosome /start /end / datavalue dataset. The bedGraph format allows display of continuous-valued data in track format. This display type is useful for probability scores and transcriptome data,,,FALSE,http://edamontology.org/format_3583,fileFormat,,,
ai,Adobe Illustrator format,,,FALSE,http://www.ebi.ac.uk/swo/data/SWO_3000023,fileFormat,,,
idx,,,,FALSE,,fileFormat,,,
idat,Proprietary file format for (raw) BeadArray data used by genomewide profiling platforms from Illumina Inc. This format is output directly from the scanner and stores summary intensities for each probe-type on an array.,,,FALSE,http://edamontology.org/format_3578,fileFormat,,,
bam,"BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s)",,,FALSE,http://edamontology.org/format_2572,fileFormat,,,
bai,BAM indexing format,,,FALSE,http://edamontology.org/format_3327,fileFormat,,,
excel,Microsoft Excel spreadsheet format,,,FALSE,,fileFormat,,,
powerpoint,Microsoft Powerpoint slide format,,,FALSE,,fileFormat,,,
tif,"Tagged Image File Format, abbreviated TIFF or TIF, is a computer file format for storing raster graphics images",,,FALSE,https://en.wikipedia.org/wiki/TIFF,fileFormat,,,
png,PNG is a file format for image compression,,,FALSE,http://edamontology.org/format_3603,fileFormat,,,
doc,Microsoft Word document format,,,FALSE,,fileFormat,,,
pdf,Portable Document Format,,,FALSE,http://edamontology.org/format_3508,fileFormat,,,
hdf,"Hierarchical Data Format (HDF) is a set of file formats (HDF4, HDF5) designed to store and organize large amounts of data",,,FALSE,https://en.wikipedia.org/wiki/Hierarchical_Data_Format,fileFormat,,,
fasta,"FASTA format is a text-based format for representing either nucleotide sequences or peptide sequences, in which nucleotides or amino acids are represented using single-letter codes",,,FALSE,https://en.wikipedia.org/wiki/FASTA_format,fileFormat,,,
fastq,FASTQ format is a text-based format for storing both a biological sequence (usually nucleotide sequence) and its corresponding quality scores. Both the sequence letter and quality score are each encoded with a single ASCII character for brevity,,,FALSE,https://en.wikipedia.org/wiki/FASTQ_format,fileFormat,,,
sam,Sequence Alignment/Map (SAM) format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s),,,FALSE,http://edamontology.org/format_2573,fileFormat,,,
vcf,"Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",,,FALSE,http://edamontology.org/format_3016,fileFormat,,,
bcf,"BCF, the binary version of Variant Call Format (VCF) for sequence variation (indels, polymorphisms, structural variation)",,,FALSE,http://edamontology.org/format_3016,fileFormat,,,
maf,"Multiple Alignment Format (MAF) supporting alignments of whole genomes with rearrangements, directions, multiple pieces to the alignment, and so forth",,,FALSE,http://edamontology.org/format_3008,fileFormat,,,
bed,"Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser",,,FALSE,http://edamontology.org/format_3003,fileFormat,,,
chp,CHP file contains probe set analysis results generated from Affymetrix software,,,FALSE,,fileFormat,,,
cel,Format of Affymetrix data file of information about (raw) expression levels of the individual probes,,,FALSE,http://edamontology.org/format_1638,fileFormat,,,
sif,SIF (simple interaction file) Format - a network/pathway format used for instance in cytoscape,,,FALSE,http://edamontology.org/format_3619,fileFormat,,,
tsv,Tabular data represented as tab-separated values in a text file,,,FALSE,http://edamontology.org/format_3475,fileFormat,,,
csv,Tabular data represented as comma-separated values in a text file,,,FALSE,http://edamontology.org/format_3752,fileFormat,,,
txt,Textual format,,,FALSE,http://edamontology.org/format_2330,fileFormat,,,
plink,Any Plink file format (MAP/PED/BED/BIM/FAM),,,FALSE,https://www.cog-genomics.org/plink2/formats,fileFormat,,,
bigwig,bigWig format for large sequence annotation tracks that consist of a value for each sequence position,,,FALSE,http://edamontology.org/format_3006,fileFormat,,,
wiggle,Wiggle format (WIG) of a sequence annotation track that consists of a value for each sequence position,,,FALSE,http://edamontology.org/format_3005,fileFormat,,,
gct,"Tab-delimited text files of GenePattern that contain a column for each sample, a row for each gene, and an expression value for each gene in each sample",,,FALSE,http://edamontology.org/format_3709,fileFormat,,,
bgzip,Blocked GNU Zip format,,,FALSE,http://edamontology.org/format_3615,fileFormat,,,
zip,zip is a format standard of a digital entity that is conformant with the PKWARE .ZIP file format specification,,,FALSE,http://purl.obolibrary.org/obo/OBI_0000325,fileFormat,,,
seg,SEG file (segmented data; .seg or .cbs) is a tab-delimited text file that lists loci and associated numeric values,,,FALSE,https://software.broadinstitute.org/software/igv/SEG,fileFormat,,,
html,HTML format,,,FALSE,http://edamontology.org/format_2331,fileFormat,,,
mov,A video file format with the .mov extension,,,FALSE,Sage Bioenetworks,fileFormat,,,
hyperlink,"A reference (link) from some point in one hypertext document to another document, another place in the same document, or a website.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C47919,fileFormat,,,
svs,"A single-file pyramidal tiled TIFF, with non-standard metadata and compression.",,,FALSE,https://openslide.org/formats/aperio/,fileFormat,,,
md,Markdown (MD) is a lightweight markup language with plain text formatting syntax,,,FALSE,https://en.wikipedia.org/wiki/Markdown,fileFormat,,,
flagstat,Output of samtools flagstat tool,,,FALSE,,fileFormat,,,
gtf,Gene transfer format (GTF) is a file format used to hold information about gene structure,,,FALSE,https://en.wikipedia.org/wiki/Gene_transfer_format,fileFormat,,,
raw,Proprietary file format for mass spectrometry data from Thermo Scientific,,,FALSE,http://edamontology.org/format_3712,fileFormat,,,
msf,Proprietary mass-spectrometry format of Thermo Scientific's ProteomeDiscoverer software,,,FALSE,http://edamontology.org/format_3702,fileFormat,,,
rmd,markdown document specific to r analyses,,,FALSE,http://rmarkdown.rstudio.com/developer_document_templates.html,fileFormat,,,
bed narrowPeak,"This format is used to provide called peaks of signal enrichment based on pooled, normalized (interpreted) data. It is a BED6+4 format.",,,FALSE,http://genome.ucsc.edu/FAQ/FAQformat.html#format12,fileFormat,,,
bed broadPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data. It is a BED 6+3 format.",,,FALSE,http://genome.ucsc.edu/FAQ/FAQformat.html#format13,fileFormat,,,
bed gappedPeak,"This format is used to provide called regions of signal enrichment based on pooled, normalized (interpreted) data where the regions may be spliced or incorporate gaps in the genomic sequence. It is a BED12+3 format.",,,FALSE,http://genome.ucsc.edu/FAQ/FAQformat.html#format14,fileFormat,,,
avi,AVI files can contain both audio and video data in a file container that allows synchronous audio-with-video playback.,,,FALSE,https://en.wikipedia.org/wiki/Audio_Video_Interleave,fileFormat,,,
pzfx,"A PZFX file is a Prism project created by GraphPad Prism, a scientific application used to analyze and graph data. It contains project data including graphs and layouts, notes, and tables.",,,FALSE,https://fileinfo.com/extension/pzfx,fileFormat,,,
fig,"Line drawing saved in the Xfig format; stored as a vector image that may include lines, shapes, arcs, splines, arrows, and text objects; may also include images, colors, and patterns.",,,FALSE,https://fileinfo.com/extension/fig,fileFormat,,,
xml,eXtensible Markup Language (XML) format.,,,FALSE,http://edamontology.org/format_2332,fileFormat,,,
tar,tape archive,,,FALSE,https://en.wikipedia.org/wiki/Tar_(computing),fileFormat,,,
R script,R Script,,,FALSE,Sage Bionetworks,fileFormat,,,
abf,The Axon Binary File format (ABF) was created for the storage of binary experimental data.,,,FALSE,https://mdc.custhelp.com/euf/assets/content/ABFHelp.pdf,fileFormat,,,
bpm,A beaded pool manifest. Describe the SNP or probe content on a BeadChip or in an assay pool.,,,FALSE,https://support.illumina.com/datafiles.html,fileFormat,,,
dat,Format of Affymetrix data file of raw image data.,,,FALSE,http://edamontology.org/format_1637,fileFormat,,,
jpg,Joint Picture Group file format for lossy graphics file.,,,FALSE,http://edamontology.org/format_3579,fileFormat,,,
locs,Illumina iScan bead location file.,,,FALSE,https://support.illumina.com/content/dam/illumina-support/documents/documentation/system_documentation/iscan/iscan-system-guide-11313539-01.pdf,fileFormat,,,
Sentrix descriptor file,A BeadScan specific file needed to perform scan setting checks for different array formats and assay type.,,,FALSE,https://support.illumina.com/content/dam/illumina-support/documents/myillumina/dd0aff11-2664-481b-a8ce-26831a907cae/beadscan_3.0_software_addendum.pdf,fileFormat,,,
Python script,"Python is an interpreted, object-oriented, high-level programming language with dynamic semantics.",,,FALSE,https://www.python.org/doc/essays/blurb/,fileFormat,,,
sav,"The SPSS Statistics File Format is a proprietary binary format, developed and maintained as the native format for the SPSS statistical software application.",,,FALSE,https://www.loc.gov/preservation/digital/formats/fdd/fdd000469.shtml,fileFormat,,,
gzip,GZipped format,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C80220,fileFormat,,,
sdf,SDF is one of a family of chemical-data file formats developed by MDL Information Systems; it is intended especially for structural information.,,,FALSE,http://edamontology.org/format_3814,fileFormat,,,
RData,"The RData format (usually with extension .rdata or .rda) is a format designed for use with R, a system for statistical computation and related graphics, for storing a complete R workspace or selected 'objects' from a workspace in a form that can be loaded back by R.",,,FALSE,https://www.loc.gov/preservation/digital/formats/fdd/fdd000470.shtml,fileFormat,,,
hic,Hi-C contact matrix file,,,FALSE,https://github.com/theaidenlab/juicer/wiki/Data,fileFormat,,,
ab1,TAB1 binary format of raw DNA sequence reads (output of Applied Biosystems' sequencing analysis software). Contains an electropherogram and the DNA base sequence.,,,FALSE,http://edamontology.org/format_3000,fileFormat,,,
7z,"A compressed archive file format that supports several different data compression, encryption and pre-processing filters.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C80224,fileFormat,,,
gff3,Generic Feature Format version 3 (GFF3) of sequence features.,,,FALSE,http://edamontology.org/format_1975,fileFormat,,,
json,"JavaScript Object Notation format; a lightweight, text-based format to represent tree-structured data using key-value pairs.",,,FALSE,http://edamontology.org/format_3464,fileFormat,,,
sqlite,Data format used by the SQLite database.,,,FALSE,http://edamontology.org/format_3621,fileFormat,,,
svg,Scalable Vector Graphics (SVG) is an XML-based vector image format for two-dimensional graphics with support for interactivity and animation.,,,FALSE,http://edamontology.org/format_3604,fileFormat,,,
sra,SRA archive format (SRA) is the archive format used for input to the NCBI Sequence Read Archive.,,,FALSE,http://edamontology.org/format_3698,fileFormat,,,
recal,.recal file from GATK VQSR,,,FALSE,https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--recal_file,fileFormat,,,
tranches,.tranches file from GATK VQSR,,,FALSE,https://software.broadinstitute.org/gatk/documentation/tooldocs/3.8-0/org_broadinstitute_gatk_tools_walkers_variantrecalibration_VariantRecalibrator.php#--tranches_file,fileFormat,,,
mtx,Matrix Market Exchange Format,,,FALSE,https://math.nist.gov/MatrixMarket/formats.html#MMformat,fileFormat,,,
tagAlign,Tag Alignment provides genomic mapping of short sequence tags.,,,FALSE,https://genome.ucsc.edu/FAQ/FAQformat.html#format15,fileFormat,,,
dup,output of the Picard MarkDuplicates tool.,,,FALSE,https://software.broadinstitute.org/gatk/documentation/tooldocs/4.0.4.0/picard_sam_markduplicates_MarkDuplicates.php,fileFormat,,,
DICOM,"A comprehensive set of standards for communications between medical imaging devices, including handling, storing and transmitting information in medical imaging. It includes a file format definition and a network communication protocol.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C49059,fileFormat,,,
czi,"microscopy imaging file format that saves multidimensional images such as time lapse, Z-stacks, multiposition experiments and virtual slides, combined with relevant meta information",,,FALSE,https://www.zeiss.com/microscopy/int/products/microscope-software/zen/czi.html,fileFormat,,,
mzML,"mzML format for raw spectrometer output data, standardised by HUPO PSI MSS.",,,FALSE,http://edamontology.org/format_3244,fileFormat,,,
SPAR,Phillips MRS Header File,,,FALSE,https://github.com/chenkonturek/MRS_MRI_libs,fileFormat,,,
SDAT,Phillips MRS Data File,,,FALSE,https://github.com/chenkonturek/MRS_MRI_libs,fileFormat,,,
PAR,"
This is yet another MRI image format generated by Philips scanners. It is an ASCII header (PAR) plus a binary blob (REC).",,,FALSE,https://nipy.org/nibabel/reference/nibabel.parrec.html,fileFormat,,,
REC,This is yet another MRI image format generated by Philips scanners. It is an ASCII header (PAR) plus a binary blob (REC).,,,FALSE,https://nipy.org/nibabel/reference/nibabel.parrec.html,fileFormat,,,
hdr,"MRI Header file, as in the NIFTI-1 Analyze 7.5 format",,,FALSE,https://nifti.nimh.nih.gov/pub/dist/src/niftilib/nifti1.h,fileFormat,,,
img,"MRI Data file, as in the NIFTI-1 Analyze 7.5 format",,,FALSE,https://nifti.nimh.nih.gov/pub/dist/src/niftilib/nifti1.h,fileFormat,,,
sf,"Salmon’s main output is its quantification file. This file is a plain-text, tab-separated file with a single header line (which names all of the columns).",,,FALSE,https://salmon.readthedocs.io/en/latest/file_formats.html,fileFormat,,,
RNAi,High throughput sample analysis of RNAi molecules for potential application in gene knockdown or gene silencing of target genes,,,FALSE,http://purl.obolibrary.org/obo/ERO_0001688,genePerturbationTechnology,,,
CRISPR,,,,FALSE,,genePerturbationTechnology,,,
CRE Recombinase,CRE Recombinase catalyses site-specific recombination between two 34 base pair loxp sites and maintains the phage genome as a monomeric unit-copy plasmid in the lysogenic state.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C17285,genePerturbationTechnology,,,
overexpression,Gene overexpression refers to genetic techniques in which an organism or cell line is engineered to express increased levels of a gene.,,,FALSE,http://www.bioassayontology.org/bao#BAO_0002442,genePerturbationType,,,
knockdown,"Gene knockdown refers to techniques by which the expression of one or more of an organism's genes is reduced, either through genetic modification (a change in the DNA of one of the organism's chromosomes) or by treatment with a reagent such as a short DNA or RNA oligonucleotide with a sequence complementary to either an mRNA transcript or a gene.",,,FALSE,http://www.bioassayontology.org/bao#BAO_0002433,genePerturbationType,,,
knockout,A gene knockout is a genetic technique in which an organism is engineered to carry genes that have been made inoperative (have been 'knocked out' of the organism).,,,FALSE,http://www.bioassayontology.org/bao#BAO_0002441,genePerturbationType,,,
immunoAssayType,Type of immuno assay,"ChIPseq, ATAC-seq",,TRUE,,immunoAssay,,,
ChIPSeq,AMP-AD ChIPseq immunology assay,,,FALSE,,immunoAssay,,,
JAX,The Jackson Laboratory,,,FALSE,https://www.jax.org,individualIdSource,,,
rRNAdepletion,Total RNA library with ribosomal RNA depleted.,,,FALSE,Sage Bionetworks,libraryPrep,,,
polyAselection,RNA selection by polyA tail capture,,,FALSE,Sage Bionetworks,libraryPrep,,,
lncRNAenrichment,RNA library enriched for lncRNA,,,FALSE,Sage Bionetworks,libraryPrep,,,
miRNAenrichment,RNA library with size selection for microRNAs,,,FALSE,Sage Bionetworks,libraryPrep,,,
10x,10x Genomics library preparation,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,,
CEL-seq,CEL-Seq library preparation,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,,
Drop-Seq,Drop-Seq library preparation,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,,
Smart-seq2,Smart-seq 2 library preparation,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,,
TruSeq,TruSeq library preparation,,,FALSE,https://github.com/HumanCellAtlas/metadata-schema/blob/master/json_schema/type/process/sequencing/library_preparation_process.json,libraryPreparationMethod,,,
Smart-seq4,Smart-seq4 library preparation,,,FALSE,https://www.takarabio.com/products/next-generation-sequencing/single-cell-rna-and-dna-seq/smart-seq-v4-for-mrna-seq,libraryPreparationMethod,,,
Omni-ATAC,Omni-ATAC-seq library preparation,,,FALSE,https://protocolexchange.researchsquare.com/article/nprot-6107/v1,libraryPreparationMethod,,,
NEBNext mRNA Library Prep Reagent Set for Illumina,NEBNext mRNA Library Prep Reagent Set for Illumina,,,FALSE,https://www.neb.com/products/e6100-nebnext-mrna-library-prep-reagent-set-for-illumina,libraryPreparationMethod,,,
individual,Metadata describing properties of individuals (human or animal) represented in the study.,,,FALSE,Sage Bionetworks,metadataType,,,
biospecimen,Metadata describing properties of specimens collected and/or analyzed in the study.,,,FALSE,Sage Bionetworks,metadataType,,,
assay,Metadata describing properties of an assay conducted in the study.,,,FALSE,Sage Bionetworks,metadataType,,,
data dictionary,Metadata describing terms or variables that appear in another file.,,,FALSE,Sage Bionetworks,metadataType,,,
manifest,Metadata describing a list of files and the annotations terms associated with them.,,,FALSE,Sage Bionetworks,metadataType,,,
protocol,"A plan specification which has sufficient level of detail and quantitative information to communicate it between investigation agents, so that different investigation agents will reliably be able to independently reproduce the process.",,,FALSE,http://purl.obolibrary.org/obo/OBI_0000272,metadataType,,,
C57BL/6J,C57BL/6 is the most widely used inbred strain. It is commonly used as a general purpose strain and background strain for the generation of congenics carrying both spontaneous and induced mutations.,,,FALSE,https://www.jax.org/strain/000664,modelSystemName,,,
NOD scid gamma,"These mice are most often referred to using their branded name ""NSG™"" and are extremely immunodeficient.",,,FALSE,https://www.jax.org/strain/005557,modelSystemName,,,
hTERT NF1 ipn02.3 2λ,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI64,modelSystemName,,,
hTERT NF1 ipNF95.11b C,plexiform neurofibroma cell line,,,FALSE,https://web.expasy.org/cellosaurus/CVCL_UI67,modelSystemName,,,
hiPSC-SCP,Schwann cell precursor iPSCs,,,FALSE,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773354,modelSystemName,,,
